conceptType,conceptUri,preferredLabel,status,description,level,category,code
SkillGroup,http://data.europa.eu/esco/isced-f/0119,education not elsewhere classified,released,,3,K,0119
SkillGroup,http://data.europa.eu/esco/isced-f/0188,inter-disciplinary programmes and qualifications involving education,released,Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to education are classified here.,3,K,0188
SkillGroup,http://data.europa.eu/esco/isced-f/0200,arts and humanities not further defined,released,,3,K,0200
SkillGroup,http://data.europa.eu/esco/isced-f/0210,arts not further defined,released,,3,K,0210
SkillGroup,http://data.europa.eu/esco/isced-f/0211,audio-visual techniques and media production,released,"Audio-visual techniques and media production is the study of techniques and skills to produce books or newspapers, radio or TV production, film or video production, recorded music production and graphic reproduction. It includes programmes and qualifications in methods of colour reproduction, photography and computer graphics. Study of combining pictures, words and decorations in the production of books, magazines, posters, adverts etc. is also included.
Programmes and qualifications with the following main content are classified here:
Animation
Bookbinding
Camera operating
Compositing (printing)
Computer game production
Computer type-setting
Film and video production
Graphic design
Graphic reproduction
Illustration
Interactive media design
Media techniques
Multimedia production
Photography
Pre-press operations
Print finishing and binding
Printing
Publishing design, lay-out
Radio and TV production
Recorded music production
Sound techniques
Type-setting === Inclusions
Desktop publishing and lay-out are included here. === Exclusions
Programmes and qualifications in the use of specific software applications for desktop publishing and website development are excluded from this detailed field and included in detailed field 0611 'Computer use'.
Study of journalism (wording and content of messages) is excluded from this detailed field and included in detailed field 0321 'Journalism and reporting'.",3,K,0211
SkillGroup,http://data.europa.eu/esco/isced-f/0212,"fashion, interior and industrial design",released,"Fashion, interior and industrial design is the study of creatively combining line, form and fabric in designing and constructing e.g. fashion garments, industrial products and interiors.
Programmes and qualifications with the following main content are classified here:
Costume design
Design of industrial products
Fashion design
Interior architecture
Interior design
Stage designing
Window dressing === Exclusions
Study of Building design is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Study of Industrial design is excluded from this detailed field if emphasis is given to technical subjects and not to artistic design, and included in the appropriate detailed field under 071 'Engineering and engineering trades'.
Publishing design and graphic design are excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.",3,K,0212
SkillGroup,http://data.europa.eu/esco/isced-f/0213,fine arts,released,"Fine arts is the study of visual forms of creative expression, dealing with theory, history, techniques, performance and production in fine arts.
Programmes and qualifications with the following main content are classified here:
Art theory
Calligraphy
Etching
Fine art printmaking
History of art
Painting
Philosophy of art
Sculpture === Exclusions
Training in ceramics, pottery etc is excluded from this detailed field and included in detailed field 0214 'Handicrafts'.
Study of architecture is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Teacher training in arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.",3,K,0213
SkillGroup,http://data.europa.eu/esco/isced-f/0214,handicrafts,released,"Handicrafts is the study of techniques and skills in a chosen craft, such as jewellery, pottery, weaving, woodcarving etc.
Programmes and qualifications with the following main content are classified here:
Ceramics
Crafts, folk arts and artisan
Decorative metal crafts
Indigenous crafts
Embroidery
Floristry (flower arranging)
Glass arts and craft
Goldsmithing
Jewellery
Making of musical instruments (not industrial)
Musical instruments (repairing and tuning)
Silversmithing
Stone carving (craft)
Weaving (craft)
Woodcarving === Exclusions
Study of industrial (large scaled mechanised) production of pottery, woven materials, embroidery etc. is excluded from this field and included in one of the detailed fields under broad field 07 'Engineering, manufacturing and construction'.",3,K,0214
SkillGroup,http://data.europa.eu/esco/isced-f/0215,music and performing arts,released,"Music and performing arts is the study of the principles and techniques associated with performance involving music, speech, movement, mime, characterisation, improvisation and stage craft.
Programmes and qualifications with the following main content are classified here:
Acting and directing
Ballet
Choreography
Circus
Composition (music)
Conducting (music)
Creative and performance art
Dance
Drama
History of film and theatre
History of music
Music
Music conducting
Musicology
Theatre/Theatre sciences === Inclusions
Study of music and performing arts history and theory is included here. === Exclusions
Teacher training in music and other performing arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.
022 Humanities (except languages).",3,K,0215
SkillGroup,http://data.europa.eu/esco/isced-f/0219,arts not elsewhere classified,released,,3,K,0219
SkillGroup,http://data.europa.eu/esco/isced-f/0220,humanities (except languages) not further defined,released,,3,K,0220
SkillGroup,http://data.europa.eu/esco/isced-f/0221,religion and theology,released,"Religion and theology is the study of religious beliefs, concepts, symbols, expressions and texts of spirituality.
Programmes and qualifications with the following main content are classified here:
Religious history
Study of sacred books
Study of different religions
Theology === Inclusions
Included in this detailed field are programmes for children and young people, usually given in religious schools or seminars, in monasteries etc., aiming to develop an interest in the tenets of their religion and sufficient familiarity with its philosophy to assist in the propagation of their faith. === Exclusions
Basic programmes given in religious schools, seminars etc. containing religious instruction but not emphasising it or leading to a religious vocation, are excluded from this detailed field and included in 0011 'Basic programmes and qualifications'. Islamic sharia programmes and qualifications are excluded from this detailed field and included in detailed field 0421 'Law'.",3,K,0221
SkillGroup,http://data.europa.eu/esco/isced-f/0222,history and archaeology,released,"History is the study of past events, especially the political, social and economic development of a country, a continent or the world. History of medicine is classified here, likewise the study of history of science and ideas. Archaeology is the study of ancient civilisations by scientific analysis of what is found in the ground.
Programmes and qualifications with the following main content are classified here:
Archaeology
Cultural history
Folklore studies
History
History of literature
History of medicine
History of science and ideas
History of technology === Inclusions
Restoration and preservation of artistic heritage are included here. === Exclusions
Study of literature combined with study of a specific language is excluded from this detailed field and included in detailed field 0232 'Literature and linguistics'.
Study of classical languages (Latin etc.) is excluded from this detailed field and included in detailed field 0231 'Language acquisition'.
Study of History of art is excluded from this detailed field and included in detailed field 0213 'Fine arts'.
Study of Music and performing arts history is excluded from this detailed field and included in detailed field 0215 'Music and performing arts'.
Study of Economic history/history of economics is excluded from this detailed field and included in detailed field 0311 'Economics'.",3,K,0222
SkillGroup,http://data.europa.eu/esco/isced-f/0223,philosophy and ethics,released,"Philosophy and ethics is the study of philosophy, ethics and related subjects dealing with the conception of life.
Programmes and qualifications with the following main content are classified here:
Ethics
Logic
Morals
Philosophy === Exclusions
Study of religion is excluded from this detailed field and included in detailed field 0221 'Religion'.
Study of Philosophy of arts is excluded from this detailed field and is included in detailed field 0213 'Fine arts'.",3,K,0223
SkillGroup,http://data.europa.eu/esco/isced-f/0228,inter-disciplinary programmes and qualifications involving humanities,released,,3,K,0228
SkillGroup,http://data.europa.eu/esco/isced-f/0229,humanities (except languages) not elsewhere classified,released,,3,K,0229
SkillGroup,http://data.europa.eu/esco/isced-f/0230,languages not further defined,released,,3,K,0230
SkillGroup,http://data.europa.eu/esco/isced-f/0231,language acquisition,released,"Language acquisition is the study of the structure and composition of languages taught as second or foreign languages (i.e. that are intended for non-native or non-fluent speakers of the language). It includes the study of related cultures, literature, linguistics and phonetics if related to the specific language being acquired and forms part of the same programme or qualification. Classical or dead languages are included here as it is assumed there are no native speakers of the language and hence the manner of teaching and the content of the curriculum are more similar to the teaching of foreign languages.
Programmes and qualifications with the following main content are classified here:
Classical languages
Exogenous languages
Foreign languages
Interpretation
Phonetics
Second languages, for example English as a second language
Sign language
Sign language interpreting
Translation === Inclusions:
Language and linguistics studies are included here if the linguistics are related to a specific language or languages being acquired and forming part of the same programme or qualification. Translation and interpretation are included here. === Exclusions:
The study of the mother tongue or first language (i.e. that are intended for native, fluent or competent speakers of the language), even if this language is not a national language of the country of study (e.g. programmes for immigrants learning their mother tongue) are excluded from this detailed field and included in detailed field 0232 'Literature and linguistics'.",3,K,0231
SkillGroup,http://data.europa.eu/esco/isced-f/0232,literature and linguistics,released,"Literature and linguistics is here defined as the study of language(s) intended for native, fluent or competent speakers of the language. It includes the study of related literature and linguistics and may or may not include the structure and composition of the language.
Programmes and qualifications with the following main content are classified here:
Creative writing
First language
Indigenous languages
Linguistics
Literature
'Mother tongue' languages
Native first languages === Inclusions
Languages taught as the first language ('mother tongue'), even if the language is not the national language of the country of study (e.g. programmes for immigrants in their home or first language) are included here. Local and regional languages are included here if they are first languages spoken by a significant minority in the country and are intended for at least competent speakers of the language.
Study of comparative literature is included here. Study of general linguistics (not related to the study of a particular language) is included here. Study of literature in general (not combined with study of a special language) is included here. === Exclusions
Language programmes are excluded from this detailed field if the language is taught as a foreign or a second language, and are then included in 0231 'Language acquisition'.
Programmes in literacy and numeracy are excluded from this detailed field and included in detailed field 0021 'Literacy and numeracy'.
Sign language programmes are excluded from this detailed field and included in detailed field 0231 'Language acquisition'.",3,K,0232
SkillGroup,http://data.europa.eu/esco/isced-f/0239,languages not elsewhere classified,released,,3,K,0239
SkillGroup,http://data.europa.eu/esco/isced-f/0288,inter-disciplinary programmes and qualifications involving arts and humanities,released,Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to arts and humanities are classified here.,3,K,0288
SkillGroup,http://data.europa.eu/esco/isced-f/0299,arts and humanities not elsewhere classified,released,,3,K,0299
SkillGroup,http://data.europa.eu/esco/isced-f/0300,"social sciences, journalism and information not further defined",released,,3,K,0300
SkillGroup,http://data.europa.eu/esco/isced-f/0310,social and behavioural sciences not further defined,released,,3,K,0310
SkillGroup,http://data.europa.eu/esco/isced-f/0311,economics,released,"Economics is the study of economic policy, economic theory and economic decisionmaking.
Programmes and qualifications with the following main content are classified here:
Econometrics
Economic history
Economics
Political economics === Exclusions
Study of economics where emphasis is given to business studies is excluded from this detailed field and classified under 041 'Business and administration'. Study of home economics is excluded from this detailed field and included in the detailed field 1011 'Domestic services'.",3,K,0311
SkillGroup,http://data.europa.eu/esco/isced-f/0312,political sciences and civics,released,"Political sciences and civics is the study of government and political principles or practice. The study of the rights and duties of the citizens are included here.
Programmes and qualifications with the following main content are classified here:
Civics
Human rights
International relations
Peace and conflict studies
Political history
Political science
Public policy studies === Exclusions
Study of political economics is excluded from this detailed field and included in the detailed field 0311 'Economics'.",3,K,0312
SkillGroup,http://data.europa.eu/esco/isced-f/0313,psychology,released,"Psychology is the study of the human mind and behaviour as a result of individual differences, experience and environment.
Programmes and qualifications with the following main content are classified here:
Cognitive science
Psychoanalysis
Psychology
Psychotherapy.",3,K,0313
SkillGroup,http://data.europa.eu/esco/isced-f/0314,sociology and cultural studies,released,"Sociology and cultural studies is the study of human beings and the way they behave in groups and in relation to society. The study of ethnology and social anthropology are included here, likewise the study of human and social geography.
Programmes and qualifications with the following main content are classified here:
Criminology
Cultural geography
Cultural studies
Demography/population studies
Ethnology
Gender studies
Social anthropology
Sociology === Exclusions
Social welfare where emphasis is given to practical social work is excluded from this detailed field and included in detailed field 0923 'Social work and counselling'.
Physical geography is excluded from this detailed field and included in detailed field 0532 'Earth science'.",3,K,0314
SkillGroup,http://data.europa.eu/esco/isced-f/0319,social and behavioural sciences not elsewhere classified,released,,3,K,0319
SkillGroup,http://data.europa.eu/esco/isced-f/0320,journalism and information not further defined,released,,3,K,0320
SkillGroup,http://data.europa.eu/esco/isced-f/0321,journalism and reporting,released,"Journalism and reporting is the study of the theory and practices of journalism/reporting as part of the field of mass communication. Journalism and reporting is about the wording and content of messages. It comprises news reporting, writing commentaries and feature stories of public interest etc.
Programmes and qualifications with the following main content are classified here:
Broadcast journalism
Editing
Information (wording and content)
Journalism
Mass communication (wording and content)
News reporting === Exclusions
Study of techniques for mass communication (e.g. printing and radio/TV production) is excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.
Study of lay-out and publishing design is excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.
Study of public relations is excluded from this detailed field and included in detailed field 0414 'Marketing and advertising'.",3,K,0321
SkillGroup,http://data.europa.eu/esco/isced-f/0322,"library, information and archival studies",released,"Library, information and archival studies is the study of the methods of selecting, acquiring, organizing and storing collections of information, and facilitating the use of information. Museum and library studies are included here.
Programmes and qualifications with the following main content are classified here:
Archival sciences
Curatorial studies
Documentation
Information science
Library studies
Museum documentation
Museum studies
Museology === Exclusions
Restoration and preservation of artistic heritage are excluded from this field and included in field 0222 'History and archaeology'.",3,K,0322
SkillGroup,http://data.europa.eu/esco/isced-f/0329,journalism and information not elsewhere classified,released,,3,K,0329
SkillGroup,http://data.europa.eu/esco/isced-f/0388,"inter-disciplinary programmes and qualifications involving social sciences, journalism and information",released,"Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to social sciences, journalism and information are classified here.",3,K,0388
SkillGroup,http://data.europa.eu/esco/isced-f/0399,"social sciences, journalism and information not elsewhere classified",released,,3,K,0399
SkillGroup,http://data.europa.eu/esco/isced-f/0400,"business, administration and law not further defined",released,,3,K,0400
SkillGroup,http://data.europa.eu/esco/isced-f/0410,business and administration not further defined,released,,3,K,0410
SkillGroup,http://data.europa.eu/esco/isced-f/0411,accounting and taxation,released,"Accounting and taxation is the study of maintaining, auditing and recording financial transactions.
Programmes and qualifications with the following main content are classified here:
Accounting
Auditing
Bookkeeping
Tax accounting
Tax management === Exclusions
Study of tax laws is excluded from this detailed field and included in detailed field 0421 'Law'.",3,K,0411
SkillGroup,http://data.europa.eu/esco/isced-f/0412,"finance, banking and insurance",released,"Finance, banking and insurance is the study of planning, directing, organizing and controlling financial activities and services. It includes the control and monitoring of the financial resources of organizations, institutions and individuals, and the provision of financial services at the corporate and individual level.
Programmes and qualifications with the following main content are classified here:
Bank teller studies
Banking and finance
Finance theory
Insurance
Investment analysis
Investments and securities
Pension insurance
Social insurance
Stock-broking === Exclusions
Study of actuarial science is excluded from this detailed field and included in detailed field 0542 'Statistics'.",3,K,0412
SkillGroup,http://data.europa.eu/esco/isced-f/0413,management and administration,released,"Management and administration is the study of planning, directing and operating the functions and activities of organizations and institutions. Programmes in management also including administration, economics, finance etc. are included here if emphasis is given to management and administration.
Programmes and qualifications with the following main content are classified here:
Administration
Educational management
Employment management
Entrepreneurship
Health administration
Logistic management
Management science
Office management
Organizational theory and behaviour
Personnel administration
Personnel management
'Start your own business' courses
Supply change management
Training management === Inclusions:
Study of leadership in the context of management is included here. === Exclusions:
Training in leadership in the context of personal development is excluded from this detailed field and included in detailed field 0031 'Personal skills'.
Study of administration in the meaning of office work is excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.",3,K,0413
SkillGroup,http://data.europa.eu/esco/isced-f/0414,marketing and advertising,released,"Marketing and advertising is the study of promoting the exchange processes of goods and services between organizations and/or individuals, and the study of consumer behaviour and requirements. It includes the study of the role of product development, pricing, distribution, promotion and sales in order to maximise business performance.
Programmes and qualifications with the following main content are classified here:
Advertising
Consumer behaviour
Market research
Marketing
Merchandising
Public relations.",3,K,0414
SkillGroup,http://data.europa.eu/esco/isced-f/0415,secretarial and office work,released,"Secretarial and office work is the study of administrative procedures and practices, office technology and clerical, shorthand and keyboard skills. Specialised secretarial programmes (bilingual, medical, law, accounting etc) are included if the programme has secretarial work as its objective, rather than work as specialised assistants.
Programmes and qualifications with the following main content are classified here:
Administrative and secretarial services
Clerical programmes
Data entry
Foreign language secretary programmes
Keyboard skills
Legal secretary programmes
Medical secretary programmes
Operation of office equipment
Receptionist training
Secretarial programmes
Shorthand
Switchboard operating
Typing === Inclusions
Broad secretarial programmes comprising among other things computer courses are included here. === Exclusions
Separate programmes or qualifications in using a specific computer software are excluded from this detailed field and included under detailed field 0611 'Computer use'.
Office management is excluded from this detailed field and included in detailed field 0413 'Management and administration'.
Hotel receptionist programmes are excluded from this detailed field and included in detailed field 1013 'Hotel, restaurant and catering'.",3,K,0415
SkillGroup,http://data.europa.eu/esco/isced-f/0416,wholesale and retail sales,released,"Wholesale and retail sales is the study of buying and selling goods and services, including stock management, pricing practices, loss prevention, sales systems and procedures. It includes the study of the workings and current trends of the wholesale and retail industries. Selling of buildings and properties is also included.
Programmes and qualifications with the following main content are classified here:
Auctioneering
Consumer services
Demonstration techniques
Purchasing
Real-estate business
Retailing
Stock-keeping
Ware-housing
Wholesaling === Inclusions
Study of buying and selling buildings and properties is included here.",3,K,0416
SkillGroup,http://data.europa.eu/esco/isced-f/0417,work skills,released,"Work skills is the study of the structure and function of working life. It comprises programmes, mainly given as staff training, related to the working place and to work assignments.
Programmes and qualifications with the following main content are classified here:
Clients' needs
Company knowledge
Customer service training
'Introduction to work' courses
Organization at work
Quality assurance
Trade union courses (general)
Work development === Inclusions
Staff training related to the work place or work assignments is included here. === Exclusions
Training related to the work place or work assignments is excluded from this detailed field if it has more to do with personal development than work development and is included in detailed field 0031 'Personal skills'.
Staff training which can be classified to any other field is excluded from this detailed field and included in the appropriate field (e.g. quality courses should, if technical, be included in the detailed fields under 071 'Engineering and engineering trades'.)
Programmes in work environment should be included in detailed field 1022 'Occupational health and safety'.
Programmes, mostly at tertiary level, dealing with working life in general in terms of the labour market, the social partners, industrial psychology etc. are excluded from this detailed field and included in the detailed fields under 031 'Social and behaviour sciences'.",3,K,0417
SkillGroup,http://data.europa.eu/esco/isced-f/0419,business and administration not elsewhere classified,released,,3,K,0419
SkillGroup,http://data.europa.eu/esco/isced-f/0421,law,released,"Law is the study of the principles and procedures for formally maintaining social order, including training for legal professions such as advocate or training for the judicial bench.
Programmes and qualifications with the following main content are classified here:
Commercial law
Criminal justice studies
History of law
Indigenous law
Jurisprudence
Labour law
Legal practice
Notary/Notary's practise
Paralegal studies === Exclusions
Court reporting programmes and legal secretary programmes are excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.
Police studies are excluded from this detailed field and included in detailed field 1032 'Protection of persons and property'.",3,K,0421
SkillGroup,http://data.europa.eu/esco/isced-f/0488,"inter-disciplinary programmes and qualifications involving business, administration and law",released,"Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to business, administration and law are classified here. === Inclusions
Study of business and administration where emphasis is not given towards any of the detailed fields under 041 is included in this field. === Exclusions
Business programmes where emphasis is given to any of the detailed fields under 041 'Business and administration' (management, administration, marketing etc.) should be classified according to the specialisation.",3,K,0488
SkillGroup,http://data.europa.eu/esco/isced-f/0499,"business, administration and law not elsewhere classified",released,,3,K,0499
SkillGroup,http://data.europa.eu/esco/isced-f/0500,"natural sciences, mathematics and statistics not further defined",released,,3,K,0500
SkillGroup,http://data.europa.eu/esco/isced-f/0510,biological and related sciences not further defined,released,,3,K,0510
SkillGroup,http://data.europa.eu/esco/isced-f/0511,biology,released,"Biology is the study of the structure, function, reproduction, growth, evolution and behaviour of all living organisms.
Programmes and qualifications with the following main content are classified here:
Biology
Botany
Cell biology
Entomology
Genetics
Mycology
Zoology === Exclusions
Study of environmental sciences, which is the study of the relation between living organisms and the environment, is excluded from this detailed field and included in detailed field 0521 'Environmental sciences'. Study of chemical processes in living organisms (biochemistry, toxicology, pharmacology etc.) is excluded from this detailed field and included in detailed field 0512 'Biochemistry'.",3,K,0511
SkillGroup,http://data.europa.eu/esco/isced-f/0512,biochemistry,released,"Biochemistry, sometimes called Biological chemistry, is the study of the chemistry of living organisms, including but not limited to, living matter.
Programmes and qualifications with the following main content are classified here:
Biological chemistry
Cell technology
Forensic sciences
Genetic code (DNA, RNA) studies
Genetic engineering
Pharmacology
Tissue culture technology
Toxicology
Virology === Inclusions
Biotechnology is included here.",3,K,0512
SkillGroup,http://data.europa.eu/esco/isced-f/0519,biological and related sciences not elsewhere classified,released,,3,K,0519
SkillGroup,http://data.europa.eu/esco/isced-f/0520,environment not further defined,released,,3,K,0520
SkillGroup,http://data.europa.eu/esco/isced-f/0521,environmental sciences,released,"Environmental sciences are the study of organisms in relation to one another and to the environment.
Programmes and qualifications with the following main content are classified here:
Ecology
Environmental science === Exclusions
The study of biology and toxicology are excluded from this detailed field and included under narrow field 051 'Biological and related sciences'.",3,K,0521
SkillGroup,http://data.europa.eu/esco/isced-f/0522,natural environments and wildlife,released,"Natural environments and wildlife is the study of the relationships between living organisms in natural environments in order to protect nature and wildlife. It includes the study of establishing and maintaining national parks in order to preserve their original natural state.
Programmes and qualifications with the following main content are classified here:
National parks and wildlife management
Nature conservation
Wildlife === Exclusions
Study of agriculture, horticulture and forestry are excluded from this detailed field and included in some of the detailed fields under 08 'Agriculture, forestry, fisheries and veterinary'.
Study of hunting and trapping is excluded from this detailed field and included in detailed field 0821 'Forestry'.",3,K,0522
SkillGroup,http://data.europa.eu/esco/isced-f/0529,environment not elsewhere classified,released,,3,K,0529
SkillGroup,http://data.europa.eu/esco/isced-f/0530,physical sciences not further defined,released,,3,K,0530
SkillGroup,http://data.europa.eu/esco/isced-f/0531,chemistry,released,"Chemistry is the study of substances and their elements and how they react when combined.
Programmes and qualifications with the following main content are classified here:
Inorganic chemistry
Organic chemistry
Physical chemistry === Exclusions
Biochemistry is excluded from this detailed field and included in detailed field 0512 'Biochemistry'.",3,K,0531
SkillGroup,http://data.europa.eu/esco/isced-f/0532,earth sciences,released,"Earth sciences is the study of the composition and structure of earth including the hydrosphere and the atmosphere.
Programmes and qualifications with the following main content are classified here:
Climate research
Earth science
Geodesy
Geography (physical)
Geology
Geomatics
Geospatial technology
Meteorology
Oceanography
Seismology === Exclusions
Social geography is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'. Soil science is excluded from this detailed field and included in detailed field 0811 'Crop and livestock production'.",3,K,0532
SkillGroup,http://data.europa.eu/esco/isced-f/0533,physics,released,"Physics is the study of properties and interactions of matter and energy. It includes the study of astronomy and space science.
Programmes and qualifications with the following main content are classified here:
Astronomy
Astrophysics
Chemical physics
Medical physics
Optics
Physics
Space science === Exclusions
Opticians' practice is excluded from this detailed field and included in detailed field 0914 'Medical diagnostic and treatment technology'.",3,K,0533
SkillGroup,http://data.europa.eu/esco/isced-f/0539,physical sciences not elsewhere classified,released,,3,K,0539
SkillGroup,http://data.europa.eu/esco/isced-f/0540,mathematics and statistics not further defined,released,,3,K,0540
SkillGroup,http://data.europa.eu/esco/isced-f/0541,mathematics,released,"Mathematics is the study of abstract deductive systems. It includes algebra, arithmetic, geometry, real and complex analysis and pure and applied mathematics.
Programmes and qualifications with the following main content are classified here:
Algebra
Geometry
Mathematics
Numerical analysis
Operational research.",3,K,0541
SkillGroup,http://data.europa.eu/esco/isced-f/0542,statistics,released,"Statistics is the study of collecting, describing, arranging and analysing numerical data. The study of probability theory and actuarial science is included.
Programmes and qualifications with the following main content are classified here:
Actuarial science
Probability theory
Statistics, applied
Survey design
Survey sampling === Inclusions
Study of mathematical (theoretical) statistics is included here. === Exclusions
Demography/population studies is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'.",3,K,0542
SkillGroup,http://data.europa.eu/esco/isced-f/0588,"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics",released,"Inter-disciplinary or broad programmes and qualifications to which the greatest intended learning time is devoted to natural sciences, mathematics and statistics are classified here.",3,K,0588
SkillGroup,http://data.europa.eu/esco/isced-f/0599,"natural sciences, mathematics and statistics not elsewhere classified",released,,3,K,0599
SkillGroup,http://data.europa.eu/esco/isced-f/0610,information and communication technologies (icts) not further defined,released,,3,K,0610
